Dates,Volume,Change,Direction
Thu 03 Nov '05,465.06 M,-0.0034 (-1.17%),UP
Thu 17 Nov '05,703.26 M,+0.0128 (+4.44%),UP
Tue 22 Nov '05,731.78 M,+0.0082 (+2.66%),UP
Tue 27 Dec '05,368 M,+0.0019 (+0.61%),UP
Wed 28 Dec '05,264.42 M,+0.0029 (+0.93%),UP
Wed 04 Jan '06,510.07 M,+0.0089 (+2.80%),UP
Thu 05 Jan '06,646.1 M,+0.0074 (+2.27%),UP
Fri 06 Jan '06,623.39 M,+0.0055 (+1.64%),UP
Mon 09 Jan '06,560.49 M,+0.0095 (+2.79%),UP
Tue 10 Jan '06,339.66 M,+0.0001 (+0.02%),UP
Wed 11 Jan '06,626.37 M,+0.0127 (+3.62%),UP
Thu 16 Feb '06,1.34 B,+0.0185 (+4.94%),UP
Fri 17 Feb '06,2.36 B,+0.0022 (+0.57%),UP
Wed 01 Mar '06,704.3 M,+0.0149 (+3.80%),UP
Tue 21 Mar '06,1.24 B,+0.0199 (+4.94%),UP
Fri 24 Mar '06,687.96 M,+0.0142 (+3.38%),UP
Mon 27 Mar '06,651.52 M,+0.0117 (+2.69%),UP
Tue 28 Mar '06,795.78 M,+0.0068 (+1.54%),UP
Wed 29 Mar '06,987.77 M,+0.0243 (+5.37%),UP
Thu 30 Mar '06,1.06 B,+0.0033 (+0.68%),UP
Fri 31 Mar '06,836.16 M,-0.0018 (-0.37%),UP
Tue 04 Apr '06,1.2 B,+0.0226 (+4.68%),UP
Fri 12 May '06,1.57 B,-0.0357 (-7.52%),DOWN
Tue 16 May '06,497.58 M,-0.0117 (-2.62%),DOWN
Wed 17 May '06,841.22 M,-0.0175 (-4.04%),DOWN
Thu 18 May '06,686.72 M,-0.0188 (-4.53%),DOWN
Mon 12 Jun '06,463.43 M,-0.0197 (-5.53%),DOWN
Tue 13 Jun '06,532.61 M,-0.0052 (-1.54%),DOWN
Mon 10 Jul '06,449.95 M,-0.0140 (-4.34%),DOWN
Wed 12 Jul '06,461.03 M,-0.0153 (-4.80%),DOWN
Thu 13 Jul '06,540.58 M,-0.0078 (-2.58%),DOWN
Fri 28 Jul '06,815.51 M,+0.0355 (+10.37%),UP
Wed 02 Aug '06,756.82 M,+0.0272 (+7.67%),UP
Thu 03 Aug '06,891.12 M,+0.0240 (+6.29%),UP
Wed 16 Aug '06,1.03 B,+0.0305 (+7.17%),UP
Mon 18 Sep '06,793.91 M,+0.0187 (+3.79%),UP
Mon 09 Oct '06,932.37 M,+0.0332 (+6.43%),UP
Fri 13 Oct '06,584.3 M,+0.0215 (+3.97%),UP
Tue 31 Oct '06,996.27 M,+0.0350 (+6.41%),UP
Thu 09 Nov '06,1.21 B,+0.0115 (+1.99%),UP
Mon 13 Nov '06,852.6 M,+0.0260 (+4.53%),UP
Tue 14 Nov '06,628.53 M,+0.0060 (+1.00%),UP
Fri 15 Dec '06,748.01 M,+0.0108 (+1.76%),UP
Mon 18 Dec '06,688.61 M,+0.0108 (+1.73%),UP
Tue 19 Dec '06,545.67 M,+0.0092 (+1.44%),UP
Fri 05 Jan '07,1.24 B,-0.0375 (-6.27%),DOWN
Mon 08 Jan '07,657.27 M,+0.0042 (+0.74%),DOWN
Tue 09 Jan '07,764.2 M,-0.0110 (-1.95%),DOWN
Thu 18 Jan '07,1.5 B,-0.0477 (-8.28%),DOWN
Fri 02 Mar '07,682.73 M,-0.0142 (-2.78%),DOWN
Mon 05 Mar '07,663.9 M,-0.0168 (-3.39%),DOWN
Tue 24 Apr '07,1.03 B,+0.0197 (+3.76%),UP
